superdomain,n_benchmarks,mean_best_score,mean_all_scores,median_all_scores,std_all_scores
Agentic,24,0.6329100833333333,0.40937816847826086,0.408,0.2494872178291054
Modified Agentic,11,0.699521,0.46809001183431953,0.432507,0.2736104040142698
Non-Agentic,19,0.8503216842105263,0.6696453287197232,0.745455,0.2903838615778982
