domain,n_benchmarks,mean_best_score,mean_all_scores,median_all_scores,std_all_scores,min_best_score
Safety & Security,1,0.972167,0.916936625,0.927549,0.053757231655232905,0.972167
Mathematics & Reasoning,6,0.9152305,0.7454926276595745,0.844,0.2813451556648608,0.742
Knowledge & Long Context,5,0.8115086,0.5758163648648649,0.658606,0.2944711743483963,0.543775
Professional Domains,6,0.7364538333333334,0.5076786705882352,0.54,0.21228346865244835,0.642
Software Engineering,18,0.6954033333333334,0.4990234489051095,0.4607295,0.3200665131543218,0.0
Multimodal,1,0.69,0.576125,0.618,0.14197617537812462,0.69
Scientific Research,8,0.6722818749999999,0.378846796875,0.37148650000000005,0.23316845696949848,0.461
"Agents, Tools & Systems",7,0.6542595714285715,0.438545513761468,0.435495,0.2310014433199524,0.387608
Data & Analytics,2,0.4677685,0.35104036666666666,0.34062499999999996,0.14272308936619968,0.38125
