domain,superdomain,n_benchmarks,mean_absolute_progress,median_absolute_progress,mean_latest_best
Mathematics & Reasoning,Non-Agentic,4,0.289625,0.17125,0.8281499999999999
Software Engineering,Agentic,11,0.2556041466478457,0.06624561312630223,0.5781430489656846
Multimodal,Non-Agentic,1,0.22899999999999998,0.22899999999999998,0.778
Knowledge & Long Context,Non-Agentic,4,0.2116,0.23800000000000002,0.773475
Scientific Research,Modified Agentic,1,0.06999999999999998,0.06999999999999998,0.285
Data & Analytics,Agentic,2,0.0,0.0,0.4103
"Agents, Tools & Systems",Agentic,3,0.0,0.0,0.5062333333333333
