domain,superdomains,n_benchmarks,mean_relative_improvement,median_relative_improvement,mean_relative_improvement_pct,median_relative_improvement_pct,mean_absolute_improvement,median_absolute_improvement,mean_launch_best_score,mean_harbor_best_score
Safety & Security,Non-Agentic,1,18.44333999999998,18.44333999999998,1844.3339999999982,1844.3339999999982,0.922167,0.922167,0.050000000000000044,0.972167
Scientific Research,Agentic; Modified Agentic; Non-Agentic,7,4.728300725678843,1.1952380952380952,472.8300725678843,119.52380952380952,0.25679386428571427,0.350167,0.3884824214285714,0.6452762857142857
Software Engineering,Agentic; Modified Agentic; Non-Agentic,15,3.2996553880849384,1.1276595744680853,329.9655388084939,112.76595744680853,0.3822196716335849,0.39315700000000003,0.38204186169974846,0.7642615333333332
Knowledge & Long Context,Non-Agentic,4,1.5343982798558344,0.6710615224302582,153.43982798558346,67.10615224302582,0.266147,0.26022100000000004,0.561875,0.828022
Mathematics & Reasoning,Non-Agentic,6,4.263032066240364,0.44334638154265515,426.3032066240364,44.33463815426552,0.3021260974842767,0.2747845,0.6131044025157233,0.9152305
Data & Analytics,Agentic; Modified Agentic,2,0.2783821083824034,0.2783821083824034,27.838210838240343,27.838210838240343,0.057468500000000006,0.057468500000000006,0.4103,0.4677685
Multimodal,Non-Agentic,1,0.25683060109289596,0.25683060109289596,25.683060109289595,25.683060109289595,0.1409999999999999,0.1409999999999999,0.549,0.69
"Agents, Tools & Systems",Agentic; Non-Agentic,6,0.8079914621944418,0.1655489068764741,80.7991462194442,16.55489068764741,0.1316135468164794,0.10533550000000003,0.5670879531835206,0.6987015
Professional Domains,Agentic,3,-0.04810221534585718,-0.0785129898091,-4.810221534585718,-7.85129898091,-0.04409266666666667,-0.05469999999999997,0.7607333333333334,0.7166406666666667
