harbor_agent,n,mean_delta,median_delta,std_delta
claude-code,9,0.12776933133279605,0.05082426875000001,0.1926023613193691
codex,11,0.0475370003384685,0.017977393258426955,0.21151254975606285
gemini-cli,8,0.09848068590905462,0.06440684831460672,0.2383599204471117
terminus-2,28,0.031495409069994866,0.00393281460674158,0.226993739278168
