column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
kumo/audiodialectenv-t4-a6-v1-s0,16,0,0.0,0.95,0.11180339887498948,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.11180339887498948,0,0
kumo/audiodialectenv-t4-a6-v1-s1,16,0,0.0,0.9875,0.0484122918275927,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.0484122918275927,0,0
kumo/beverageenv-t4-a6-v1-s0,16,0,0.0,0.9125,0.17275343701356566,1.0,0.95,1.0,0.4,1.0,identity,1.0,0.050000000000000044,0,0
kumo/beverageenv-t4-a6-v1-s1,16,0,0.0,0.9375,0.1964529205687714,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1964529205687714,0,0
kumo/birdnestenv-t4-a6-v1-s0,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/birdnestenv-t4-a6-v1-s1,16,0,0.0,0.95,0.19364916731037085,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.19364916731037085,0,0
kumo/botanicalenv-t4-a6-v1-s0,16,0,0.0,0.9875,0.0484122918275927,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.0484122918275927,0,0
kumo/botanicalenv-t4-a6-v1-s1,16,0,0.0,0.9125,0.24462982238476158,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.24462982238476158,0,0
kumo/caridentificationenv-t4-a6-v1-s0,16,0,0.0,0.9625,0.10532687216470447,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10532687216470447,0,0
kumo/caridentificationenv-t4-a6-v1-s1,16,0,0.0,0.9625,0.07806247497997995,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.07806247497997995,0,0
kumo/celestialenv-t4-a6-v1-s0,16,0,0.0,0.925,0.17139136501002608,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.17139136501002608,0,0
kumo/celestialenv-t4-a6-v1-s1,16,0,0.0,0.975,0.06614378277661474,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.06614378277661474,0,0
kumo/chemicalcompoundsenv-t4-a6-v1-s0,16,0,0.0,0.9375,0.16909686573085855,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.16909686573085855,0,0
kumo/chemicalcompoundsenv-t4-a6-v1-s1,16,0,0.0,0.9375,0.11659223816361018,1.0,0.95,1.0,0.6,1.0,identity,1.0,0.050000000000000044,0,0
kumo/chemicalenv-t12-a16-v1-s0,16,0,0.0,0.75,0.3427827300200522,1.0,0.55,1.0,0.0,1.0,identity,1.0,0.44999999999999996,0,0
kumo/chemicalenv-t12-a16-v1-s1,16,0,0.0,0.8,0.33166247903554,1.0,0.7000000000000001,1.0,0.0,1.0,identity,1.0,0.29999999999999993,0,0
kumo/chemicalenv-t4-a6-v1-s0,16,0,0.0,0.925,0.1984313483298443,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1984313483298443,0,0
kumo/chemicalenv-t4-a6-v1-s1,16,0,0.0,0.925,0.17139136501002608,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.17139136501002608,0,0
kumo/chessenv-t4-a6-v1-s0,16,0,0.0,0.9125,0.1996089927833914,1.0,0.95,1.0,0.2,1.0,identity,1.0,0.050000000000000044,0,0
kumo/chessenv-t4-a6-v1-s1,16,0,0.0,0.55,0.4031128874149275,0.6,0.15000000000000002,1.0,0.0,1.0,identity,0.6,0.85,0,0
kumo/circusactenv-t4-a6-v1-s0,16,0,0.0,0.8875,0.24462982238476158,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.24462982238476158,0,0
