method,rank,holdout_cells,rmse,mae
column_median,0,5491,11.222008461015198,0.8367051902983215
iterative_svd,2,5491,11.246107868512665,0.8392762186637173
row_mean_shrunk,0,5491,11.221964313822886,0.8878322072411104
two_way_shrunk,0,5491,11.965503079681655,1.15763463113195
