component,r2,adj_r2,n_predictors,partial_r2_over_other_main_effects,adj_partial_r2_over_other_main_effects,permutation_p_value,type
agent:benchmark,0.33845999780619385,0.10870358985864437,232,0.26635780212362103,0.11003215566881752,,interaction_increment
model:agent,0.07796710051082834,-0.0010007352717182894,71,0.005864904828255524,0.0003278305384548652,,interaction_increment
agent,0.00477777684066083,0.001449274422067659,3,0.002916881597018972,-0.00045255945055355795,0.47,main_effect
model:benchmark,0.5023888881140217,-0.0019015675556608436,453,0.4302866924314489,-0.000573001745487689,,interaction_increment
benchmark,0.061458333071044424,-0.0008145737394076313,56,0.061495744127828766,-0.0008182359217121515,,main_effect
all_main_effects,0.07210219568257281,-0.0013285658101731546,66,0.07210219568257281,-0.0013285658101731546,,combined
model,0.007670565974709609,-0.00010805220913923108,7,0.005844330619322324,-0.0020801455449239725,0.901,main_effect
